R0 14 6 9 16 9 6 8 5 7 13
R1 7 11 8 6 8 14 12 14 8 2 1
R2 5 14 8 3 2 1 7
R3 1 0 5 8 12 9
R4 11 14 8 5 8 11
R5 2 3 4 3 2 6 4 6 9 10
R6 
R7 4 16 10 12 10 6 8 12
R8 0 15 13 5 8 1
R9 14 8 5 2 5 7 15
R10 6 9 4 9 6 8 5 7 13 11
R11 7 0 1 2 8 2 3 9
