R0 11 16 9 8 9 10 3 10 16 9 4 3 2 1 6 12 6 0 1 2 8 15 16 10 9
R1 1 8 15 10 15 14 9 14 7 0 7 12 5 6 1 6 7 14 15 16 10 4 3 8 7 6
R2 7 12 13 6 5 0 6 13 8 9 2 7 8 14 8 15 8 14 13 14 8 2 3 4 11 10
