-1,212,-1,-1,-1,402,-1,342,-1,-1,-1,-1,-1,-1,-1,384,-1
212,-1,193,-1,-1,-1,-1,402,393,-1,-1,-1,-1,-1,-1,-1,-1
-1,193,-1,197,-1,393,395,-1,342,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,197,-1,206,-1,-1,-1,395,399,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,206,-1,-1,399,-1,-1,342,-1,-1,-1,-1,-1,-1,338
402,-1,393,-1,-1,-1,-1,212,193,-1,-1,-1,-1,237,220,-1,-1
-1,-1,395,-1,399,-1,-1,-1,197,206,232,-1,-1,-1,223,-1,-1
342,402,-1,-1,-1,212,-1,-1,-1,-1,-1,237,-1,105,-1,189,-1
-1,393,342,395,-1,193,197,-1,-1,-1,-1,220,223,-1,105,-1,-1
-1,-1,-1,399,342,-1,206,-1,-1,-1,105,-1,232,-1,-1,-1,176
-1,-1,-1,-1,-1,-1,232,-1,-1,105,-1,-1,206,-1,-1,-1,229
-1,-1,-1,-1,-1,-1,-1,237,220,-1,-1,-1,-1,212,193,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,223,232,206,-1,-1,-1,197,-1,-1
-1,-1,-1,-1,-1,237,-1,105,-1,-1,-1,212,-1,-1,-1,220,-1
-1,-1,-1,-1,-1,220,223,-1,105,-1,-1,193,197,-1,-1,-1,-1
384,-1,-1,-1,-1,-1,-1,189,-1,-1,-1,-1,-1,220,-1,-1,-1
-1,-1,-1,-1,338,-1,-1,-1,-1,176,229,-1,-1,-1,-1,-1,-1
